exp_id	timestamp	concept	qa_score	judge_score	combined_score	verdict	change_summary	prompts_hash	highlights_preview
0005	2026-03-13T20:51:50.667304+00:00	Jalapeño Corn Dog Bites	92	n/a	92.0	KEEP	    "Do NOT invent details that aren't in the summaries above.\n\n"	15459ce4	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0006	2026-03-13T20:52:53.252818+00:00	Jalapeño Corn Dog Bites	95	7	85.0	DISCARD	    "should be revisited or settled in Sunday's conversation."	edce5f63	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0007	2026-03-13T20:53:46.784664+00:00	Jalapeño Corn Dog Bites	87	3	64.2	DISCARD	    highlights_text = "\n\n".join(sections) if sections else "\n".join(f"- {h}" for h in highlights)	6d2e1be2	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0008	2026-03-13T20:54:30.825488+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	    "'Remember when Julian pushed back on the lighting Wednesday?' "	6193058a	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0009	2026-03-13T20:55:45.087494+00:00	Jalapeño Corn Dog Bites	95	5	77.0	DISCARD	    "These callbacks should feel natural, not forced. "	6900f575	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0010	2026-03-13T20:56:58.676826+00:00	Jalapeño Corn Dog Bites	95	4	73.0	DISCARD	    "temperature": 0.2,	7434c8f8	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0011	2026-03-13T20:57:46.080200+00:00	Jalapeño Corn Dog Bites	89	6	77.4	DISCARD	    "These callbacks must feel like natural conversation, not forced recaps. "	476f20d8	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0012	2026-03-13T21:00:08.761260+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	    "when it feels organic - revisiting an unresolved disagreement, "	7db9ccad	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0013	2026-03-13T21:01:34.407968+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	    "These callbacks must arise naturally within the flow of dialogue, not as forced recaps. "	1898120e	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0014	2026-03-13T21:02:56.589494+00:00	Jalapeño Corn Dog Bites	85	6	75.0	DISCARD	    if recent:	a68f0aee	Monday: Monday: Margaret questioned whether jalapeño corn do | Tuesday: Tuesday: Margaret established the cornmeal-to-flour | Wednesday: Wednesday: Julian presented three lighting approa
0015	2026-03-13T21:04:46.912108+00:00	Jalapeño Corn Dog Bites	88	4	68.8	DISCARD	            early_text + "\nMost relevant to today:\n" + recent_text	f9688cf9	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0016	2026-03-13T21:06:01.340183+00:00	Jalapeño Corn Dog Bites	93	7	83.8	DISCARD	    "Let them reference specific people and details from earlier days when it fits naturally - "	adbc35e4	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0017	2026-03-13T21:08:14.759595+00:00	Jalapeño Corn Dog Bites	90	6	78.0	DISCARD	    if recent:	b8e7880d	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0018	2026-03-13T21:09:56.857018+00:00	Jalapeño Corn Dog Bites	94	5	76.4	DISCARD	    if recent:	8c0d1674	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0019	2026-03-13T21:11:00.021883+00:00	Jalapeño Corn Dog Bites	87	3	64.2	DISCARD	    "CONTEXT FROM EARLIER THIS WEEK:\n"	cee8b4f2	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0020	2026-03-13T21:11:52.957339+00:00	Jalapeño Corn Dog Bites	91	7	82.6	DISCARD	    "Let this history shape Sunday's conversation naturally. "	e63137d7	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0021	2026-03-13T21:12:53.779950+00:00	Jalapeño Corn Dog Bites	80	5	68.0	DISCARD	    "Sunday's conversation should feel like a natural continuation of this week. "	48098ca9	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting takes for the jal
0000	2026-03-13T21:37:26.631395+00:00	Jalapeño Corn Dog Bites	93	7	83.8	BASELINE	no compression (baseline)	0c6d8110	(none)
0001	2026-03-13T21:38:36.244103+00:00	Jalapeño Corn Dog Bites	96	6	81.6	INITIAL	default compression template	0c6d8110	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0002	2026-03-13T21:39:36.205192+00:00	Jalapeño Corn Dog Bites	94	7	84.4	KEEP	        formatted_lines.append(f"- {h}")	f1a19081	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0003	2026-03-13T21:40:41.737712+00:00	Jalapeño Corn Dog Bites	97	6	82.2	DISCARD	    "Look for any disagreements or open questions in the history above and have characters address them naturally in Sunday's dialogue."	3aae4c19	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0004	2026-03-13T21:42:13.313575+00:00	Jalapeño Corn Dog Bites	96	6	81.6	DISCARD	    late_lines = []	f1d9ef91	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0005	2026-03-13T21:43:31.228709+00:00	Jalapeño Corn Dog Bites	90	n/a	90.0	KEEP	                # Keep it brief - first sentence only	e04b1795	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0006	2026-03-13T21:44:13.050608+00:00	Jalapeño Corn Dog Bites	87	n/a	87.0	DISCARD	                if still_open_idx != -1:	fd5caf12	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0007	2026-03-13T21:44:53.629984+00:00	Jalapeño Corn Dog Bites	96	n/a	96.0	KEEP	    elif recent_anchor:	23fd8829	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0008	2026-03-13T21:45:59.162637+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	        # Split into sentences	dcdf44a1	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting takes of the jala
0009	2026-03-13T21:47:08.590589+00:00	Jalapeño Corn Dog Bites	93	6	79.8	DISCARD	        # Match "FirstName verb phrase" at start of sentence	8a5812e6	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0010	2026-03-13T21:49:20.493419+00:00	Jalapeño Corn Dog Bites	88	6	76.8	DISCARD	        char_lines = []	a5ba91b0	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0011	2026-03-13T21:50:57.982171+00:00	Jalapeño Corn Dog Bites	92	4	71.2	DISCARD	                if word and word[0].isupper() and i > 0 and words[i-1].endswith("."):	0e5a7084	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting takes of the jala
0012	2026-03-13T21:52:05.195129+00:00	Jalapeño Corn Dog Bites	96	6	81.6	DISCARD	                    f"- {day_second}: {detail_second}\n"	229ab683	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0013	2026-03-13T21:53:17.628297+00:00	Jalapeño Corn Dog Bites	95	5	77.0	DISCARD	        open_threads_text = (	0eb45427	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting takes of the jala
0014	2026-03-13T21:56:11.617699+00:00	Jalapeño Corn Dog Bites	90	7	82.0	DISCARD	    elif highlights:	dfef1116	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0015	2026-03-13T21:57:29.802731+00:00	Jalapeño Corn Dog Bites	95	5	77.0	DISCARD	        result = result + char_summary	db61d3a4	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0016	2026-03-13T21:58:48.692191+00:00	Jalapeño Corn Dog Bites	91	6	78.6	DISCARD	                second_anchor = f"- Before that ({day_label}): {first_sentence}"	93615880	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0017	2026-03-13T22:00:03.218528+00:00	Jalapeño Corn Dog Bites	92	6	79.2	DISCARD	    # Append character callback cues if we found any	2511c49c	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0018	2026-03-13T22:01:12.837811+00:00	Jalapeño Corn Dog Bites	82	5	69.2	DISCARD	        parts = first_highlight.split(":", 1)	0c603e18	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0019	2026-03-13T22:02:39.189513+00:00	Jalapeño Corn Dog Bites	78	6	70.8	DISCARD	    # to help Sunday feel like a genuine continuation	d2607355	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting takes of the jala
0020	2026-03-13T22:03:45.809155+00:00	Jalapeño Corn Dog Bites	89	4	69.4	DISCARD	            # Use the full last highlight as the anchor (not just first sentence)	a27d4af8	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0021	2026-03-13T22:05:00.493463+00:00	Jalapeño Corn Dog Bites	96	6	81.6	DISCARD	        open_threads_text = (	2fe54ffa	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0000	2026-03-14T02:27:07.548189+00:00	Jalapeño Corn Dog Bites	94	6	80.4	BASELINE	no compression (baseline)	23fd8829	(none)
0001	2026-03-14T02:27:55.362617+00:00	Jalapeño Corn Dog Bites	84	4	66.4	INITIAL	default compression template	23fd8829	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting takes of the jala
0002	2026-03-14T02:29:18.712615+00:00	Jalapeño Corn Dog Bites	88	6	76.8	KEEP	    for i, h in enumerate(highlights, 1):	a7988013	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0003	2026-03-14T02:31:14.355284+00:00	Jalapeño Corn Dog Bites	97	6	82.2	KEEP	    # Extract open threads: look for "Still open:" markers first (from template),	f700285e	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0004	2026-03-14T02:32:50.831300+00:00	Jalapeño Corn Dog Bites	95	5	77.0	DISCARD	        for name, contribs in character_contributions.items():	d4b89115	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0005	2026-03-14T02:34:08.525519+00:00	Jalapeño Corn Dog Bites	87	n/a	87.0	KEEP	        if refs:	16f4453c	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0006	2026-03-14T02:35:10.180965+00:00	Jalapeño Corn Dog Bites	90	6	78.0	DISCARD	            key_quotes_lines.append(f"- {day_label}: \"{quoted[0]}\"")	542500ea	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0007	2026-03-14T02:36:07.321624+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	no visible change	f700285e	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established that the cornmeal-to-flour rat | Wednesday: Julian presented three lighting approaches for th
0008	2026-03-14T02:37:14.378923+00:00	Jalapeño Corn Dog Bites	88	5	72.8	DISCARD	        "\nSUNDAY CALLBACK GUIDE: When characters speak Sunday, have them naturally "	9ca58f5c	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0009	2026-03-14T02:38:13.580764+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	no visible change	f700285e	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0010	2026-03-14T02:39:16.349598+00:00	Jalapeño Corn Dog Bites	96	6	81.6	DISCARD	    specific_details = []	42d31081	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0011	2026-03-14T02:40:19.059566+00:00	Jalapeño Corn Dog Bites	91	7	82.6	DISCARD	    # Build a "specific details to reference" section from the most concrete	b2f92075	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0012	2026-03-14T02:41:18.599084+00:00	Jalapeño Corn Dog Bites	87	6	76.2	DISCARD	                    sent = sent.strip()	d5b0e459	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0013	2026-03-14T02:42:39.396294+00:00	Jalapeño Corn Dog Bites	90	6	78.0	DISCARD	                    sent_clean = sent.replace("||", "").strip()	9702f36b	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0014	2026-03-14T02:43:36.988751+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	no visible change	f700285e	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio at | Wednesday: Julian presented three lighting approaches for th
0015	2026-03-14T02:44:39.202164+00:00	Jalapeño Corn Dog Bites	87	5	72.2	DISCARD	    char_index_lines = [	2fdca51c	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0016	2026-03-14T02:45:46.788771+00:00	Jalapeño Corn Dog Bites	96	7	85.6	DISCARD	no visible change	f700285e	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0017	2026-03-14T02:46:50.498466+00:00	Jalapeño Corn Dog Bites	93	6	79.8	DISCARD	    character_positions: dict[str, str] = {}	87e7e23a	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0018	2026-03-14T02:47:50.418485+00:00	Jalapeño Corn Dog Bites	94	6	80.4	DISCARD	    "CONVERSATION HISTORY (Monday through Saturday):\n"	8b22f8d8	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established the cornmeal-to-flour ratio mu | Wednesday: Julian presented three lighting approaches for th
0019	2026-03-14T02:48:50.799903+00:00	Jalapeño Corn Dog Bites	86	5	71.6	DISCARD	    "CONVERSATION HISTORY (Monday through Saturday):\n"	4e673a5f	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0020	2026-03-14T02:49:53.596615+00:00	Jalapeño Corn Dog Bites	92	4	71.2	DISCARD	        for sent in sentences:	9e149907	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour mini | Wednesday: Julian presented three lighting approaches for th
0021	2026-03-14T02:50:53.187915+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	            recent_anchor = f"- Most recently ({day_label}): {detail}"	2a3bbda3	Monday: Margaret questioned whether jalapeño corn dog bites  | Tuesday: Margaret established a 60-40 cornmeal-to-flour rati | Wednesday: Julian presented three lighting approaches for th
0000	2026-03-14T03:09:56.191076+00:00	Jalapeño Corn Dog Bites	87	6	76.2	BASELINE	no compression (baseline)	52aa910d	(none)
0001	2026-03-14T03:10:25.555850+00:00	Jalapeño Corn Dog Bites	95	6	81.0	INITIAL	default compression template	52aa910d	Week summary (Monday through Saturday): Margaret questioned 
0002	2026-03-14T03:11:41.055470+00:00	Jalapeño Corn Dog Bites	92	6	79.2	DISCARD	    "This is the full week of conversations leading to today. "	e4dfb611	Week summary (Monday through Saturday): Margaret challenged 
0000	2026-03-14T03:20:21.781884+00:00	Mini Shepherd's Pies	94	3	68.4	BASELINE	no compression (baseline)	f700285e	(none)
0001	2026-03-14T03:20:45.985116+00:00	Mini Shepherd's Pies	92	4	71.2	INITIAL	default compression template	f700285e	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret, Marcus, and Stephanie are testing three p | Wednesday: Julian shot three lighting variations of the mini
0002	2026-03-14T03:21:46.524168+00:00	Mini Shepherd's Pies	88	3	64.8	DISCARD	        f"- Include WHO said or decided what (use first names)\n"	eafe2529	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret, Marcus, and Stephanie are testing three p | Wednesday: Julian shot three lighting variations of the mini
0000	2026-03-14T03:23:32.038515+00:00	Brown Butter Pecan Tassies	94	5	76.4	BASELINE	no compression (baseline)	f700285e	(none)
0001	2026-03-14T03:23:55.470893+00:00	Brown Butter Pecan Tassies	93	5	75.8	INITIAL	default compression template	f700285e	Monday: Margaret proposed brown butter pecan tassies as the  | Tuesday: Margaret's test batches for Brown Butter Pecan Tass | Wednesday: Julian shared three lighting tests for the brown 
0002	2026-03-14T03:24:51.810391+00:00	Brown Butter Pecan Tassies	96	5	77.6	KEEP	        # Fallback: use the last highlight as a "where we left off" anchor	c4712a00	Monday: Margaret proposed brown butter pecan tassies, emphas | Tuesday: Margaret will test three shell ratios by tomorrow f | Wednesday: Julian shared three lighting tests for the brown 
0000	2026-03-14T03:28:34.793981+00:00	Mini Shepherd's Pies	94	7	84.4	BASELINE	no compression (baseline)	f700285e	(none)
0001	2026-03-14T03:29:01.429265+00:00	Mini Shepherd's Pies	82	4	65.2	INITIAL	default compression template	f700285e	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret, Marcus, and Stephanie are testing three p | Wednesday: Julian shot three lighting variations of the mini
0002	2026-03-14T03:29:55.692794+00:00	Mini Shepherd's Pies	89	5	73.4	KEEP	    best_quote = None	4b5b2eb8	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0003	2026-03-14T03:31:09.646058+00:00	Mini Shepherd's Pies	84	3	62.4	DISCARD	        # Only include if they appear in multiple days (likely a real character)	859d296f	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0004	2026-03-14T03:32:04.031570+00:00	Mini Shepherd's Pies	86	4	67.6	DISCARD	                    character_mentions[name].append(sentence)	e54e40c0	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret, Marcus, and Stephanie are testing three p | Wednesday: Julian shot three lighting variations of the mini
0005	2026-03-14T03:32:53.271882+00:00	Mini Shepherd's Pies	95	n/a	95.0	KEEP	            lines.append(earliest_anchor)	92d63f49	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0006	2026-03-14T03:33:54.461036+00:00	Mini Shepherd's Pies	94	n/a	94.0	DISCARD	            candidate = words[0].rstrip(",")	f3ba55b5	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0007	2026-03-14T03:34:55.570589+00:00	Mini Shepherd's Pies	97	n/a	97.0	KEEP	        arc_lines = []	024393fc	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0008	2026-03-14T03:36:10.173356+00:00	Mini Shepherd's Pies	93	6	79.8	DISCARD	    recent_positions_lines = []	2d4500ca	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0009	2026-03-14T03:37:26.461660+00:00	Mini Shepherd's Pies	83	5	69.8	DISCARD	    for name, mentions in list(recurring_characters.items())[:4]:  # cap at 4 characters	816869da	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0010	2026-03-14T03:38:41.030741+00:00	Mini Shepherd's Pies	97	4	74.2	DISCARD	    for name, mentions in list(recurring_characters.items())[:4]:  # cap at 4 characters	6fbddedc	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0011	2026-03-14T03:39:58.266033+00:00	Mini Shepherd's Pies	87	5	72.2	DISCARD	    character_positions: dict[str, list[str]] = {}	1d5411cc	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0012	2026-03-14T03:41:12.985716+00:00	Mini Shepherd's Pies	60	3	48.0	DISCARD	                    if entry not in character_positions[candidate]:	9e39dd6e	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
