exp_id	timestamp	target_day	concept	qa_score	judge_score	combined_score	verdict	change_summary	prompts_hash
0013	2026-03-13T17:09:52.558837+00:00	monday	Jalapeño Corn Dog Bites	94	6	80.4	DISCARD	        "- Specificity beats generality. Name an ingredient, a texture, a technique - not just 'the food' or 'the content'."	3818964f
0014	2026-03-13T17:10:54.914387+00:00	monday	Jalapeño Corn Dog Bites	92	5	75.2	DISCARD	        "- Don't repeat a phrase or sentence structure used by the previous speaker."	33ace77b
0015	2026-03-13T17:11:56.025113+00:00	monday	Jalapeño Corn Dog Bites	87	4	68.2	DISCARD	no visible change	b1a7d225
0016	2026-03-13T17:13:04.726612+00:00	monday	Jalapeño Corn Dog Bites	90	7	82.0	DISCARD	no visible change	225d6aab
0017	2026-03-13T17:14:20.909375+00:00	monday	Jalapeño Corn Dog Bites	88	4	68.8	DISCARD	        "- Push back on the last thing said if your character would push back. Don't just add your take - react."	3c7d8a33
0018	2026-03-13T17:15:24.173653+00:00	monday	Jalapeño Corn Dog Bites	82	6	73.2	DISCARD	        "Cornmeal needs to be coarser or the texture just dies.",	aac0aa75
0019	2026-03-13T17:16:26.672213+00:00	monday	Jalapeño Corn Dog Bites	85	7	79.0	DISCARD	        "- Conflict is natural. Disagree when your character would disagree. Don't smooth things over artificially.\n"	9d9bb99a
0020	2026-03-13T17:17:29.268756+00:00	monday	Jalapeño Corn Dog Bites	86	6	75.6	DISCARD	no visible change	225d6aab
0021	2026-03-13T17:18:30.953359+00:00	monday	Jalapeño Corn Dog Bites	83	2	57.8	DISCARD	no visible change	225d6aab
0022	2026-03-13T17:19:35.747905+00:00	monday	Jalapeño Corn Dog Bites	95	4	73.0	DISCARD	no visible change	49304e40
0023	2026-03-13T17:20:37.050409+00:00	monday	Jalapeño Corn Dog Bites	87	4	68.2	DISCARD	no visible change	49304e40
0024	2026-03-13T17:21:56.825283+00:00	monday	Jalapeño Corn Dog Bites	94	7	84.4	DISCARD	no visible change	9841e865
0025	2026-03-13T17:23:15.059146+00:00	monday	Jalapeño Corn Dog Bites	70	6	66.0	DISCARD	        "- If the last message was wrong about food, say so. Don't let bad takes slide."	b3153ad1
0026	2026-03-13T17:24:33.977084+00:00	monday	Jalapeño Corn Dog Bites	81	7	76.6	DISCARD	no visible change	225d6aab
0027	2026-03-13T17:25:31.354540+00:00	monday	Jalapeño Corn Dog Bites	87	4	68.2	DISCARD	no visible change	49304e40
0028	2026-03-13T17:26:51.017959+00:00	monday	Jalapeño Corn Dog Bites	81	2	56.6	DISCARD	no visible change	49304e40
0029	2026-03-13T17:28:04.763058+00:00	monday	Jalapeño Corn Dog Bites	87	5	72.2	DISCARD	no visible change	a1dbf05c
0030	2026-03-13T17:29:25.520975+00:00	monday	Jalapeño Corn Dog Bites	93	6	79.8	DISCARD	no visible change	9841e865
0031	2026-03-13T17:30:27.397974+00:00	monday	Jalapeño Corn Dog Bites	77	7	74.2	DISCARD	no visible change	9841e865
0032	2026-03-13T17:31:25.981779+00:00	monday	Jalapeño Corn Dog Bites	86	4	67.6	DISCARD	no visible change	49304e40
0033	2026-03-13T17:32:22.874278+00:00	monday	Jalapeño Corn Dog Bites	97	3	70.2	DISCARD	no visible change	49304e40
0034	2026-03-13T17:33:20.877152+00:00	monday	Jalapeño Corn Dog Bites	86	5	71.6	DISCARD	no visible change	9841e865
0035	2026-03-13T17:34:17.490889+00:00	monday	Jalapeño Corn Dog Bites	95	4	73.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide."	a5395651
0036	2026-03-13T17:35:04.016437+00:00	monday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1Usj5f2mmCLDiDzKLtn'}	n/a
0037	2026-03-13T17:36:28.797708+00:00	monday	Jalapeño Corn Dog Bites	84	7	78.4	DISCARD	no visible change	49304e40
0038	2026-03-13T17:37:34.290068+00:00	monday	Jalapeño Corn Dog Bites	72	4	59.2	DISCARD	        "Works on my end.",	c36293f5
0039	2026-03-13T17:38:35.222498+00:00	monday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1V8EfHUiPGuH8zHFmkb'}	n/a
0040	2026-03-13T17:39:38.611882+00:00	monday	Jalapeño Corn Dog Bites	92	6	79.2	DISCARD	no visible change	49304e40
0041	2026-03-13T17:40:54.645804+00:00	monday	Jalapeño Corn Dog Bites	93	4	71.8	DISCARD	no visible change	49304e40
0042	2026-03-13T17:42:00.369029+00:00	monday	Jalapeño Corn Dog Bites	91	4	70.6	DISCARD	no visible change	9841e865
0043	2026-03-13T17:43:28.354589+00:00	monday	Jalapeño Corn Dog Bites	96	6	81.6	DISCARD	        "Those aren't corn dogs. They're cornbread with delusions.",	0f70f697
0044	2026-03-13T17:44:50.540979+00:00	monday	Jalapeño Corn Dog Bites	95	4	73.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide."	96c5f73b
0045	2026-03-13T17:45:52.194119+00:00	monday	Jalapeño Corn Dog Bites	93	7	83.8	DISCARD	no visible change	49304e40
0046	2026-03-13T17:46:00.386572+00:00	monday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1VkwTUBZwbVFZqQkbKk'}	n/a
0047	2026-03-13T17:47:07.450687+00:00	monday	Jalapeño Corn Dog Bites	77	6	70.2	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide."	3341d986
0048	2026-03-13T17:48:27.426985+00:00	monday	Jalapeño Corn Dog Bites	91	6	78.6	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide."	96c5f73b
0049	2026-03-13T17:49:32.847047+00:00	monday	Jalapeño Corn Dog Bites	0	n/a	0	CRASH	eval error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1W2hEeRMBBXyG76uVME'}	n/a
0050	2026-03-13T17:51:28.090438+00:00	monday	Jalapeño Corn Dog Bites	96	5	77.6	DISCARD	        "Works on my end. What browser.",	4019ba86
0000	2026-03-13T19:09:15.785709+00:00	tuesday	Jalapeño Corn Dog Bites	79	6	71.4	BASELINE	original prompts	3f721e1e
0001	2026-03-13T19:10:21.287272+00:00	tuesday	Jalapeño Corn Dog Bites	82	6	73.2	KEEP	        "- Conflict is natural. Disagree when your character would disagree. Don't smooth things over artificially.\n"	d10da58b
0002	2026-03-13T19:11:26.574779+00:00	tuesday	Jalapeño Corn Dog Bites	89	5	73.4	KEEP	        "- React to the specific food being discussed. Name the ingredient or technique. Don't be generic."	0cbccbc8
0003	2026-03-13T19:12:32.413013+00:00	tuesday	Jalapeño Corn Dog Bites	91	4	70.6	DISCARD	        "Pushed the fix. Should be live.",	25f8c7b7
0004	2026-03-13T19:13:28.731590+00:00	tuesday	Jalapeño Corn Dog Bites	94	n/a	94.0	KEEP	        "- If someone just said something wrong about food or the work, push back. Don't let it slide."	d683b7f5
0005	2026-03-13T19:14:42.511288+00:00	tuesday	Jalapeño Corn Dog Bites	93	n/a	93.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide.\n"	851e414a
0006	2026-03-13T19:15:56.833227+00:00	tuesday	Jalapeño Corn Dog Bites	94	n/a	94.0	DISCARD	        "Hey. What needs doing today.",	9433bd69
0007	2026-03-13T19:17:11.360645+00:00	tuesday	Jalapeño Corn Dog Bites	82	n/a	82.0	DISCARD	        "Fixed. Also the mobile layout was broken.",	84f9385c
0008	2026-03-13T19:18:22.839142+00:00	tuesday	Jalapeño Corn Dog Bites	87	n/a	87.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide.\n"	85a9742b
0009	2026-03-13T19:19:35.850443+00:00	tuesday	Jalapeño Corn Dog Bites	86	n/a	86.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide.\n"	fc46ddf7
0010	2026-03-13T19:20:51.168753+00:00	tuesday	Jalapeño Corn Dog Bites	87	n/a	87.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide.\n"	996ceedd
0011	2026-03-13T19:21:46.515462+00:00	tuesday	Jalapeño Corn Dog Bites	84	n/a	84.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide.\n"	37f8200d
0012	2026-03-13T19:23:01.955529+00:00	tuesday	Jalapeño Corn Dog Bites	94	n/a	94.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide.\n"	31c41c9b
0013	2026-03-13T19:24:01.054577+00:00	tuesday	Jalapeño Corn Dog Bites	90	n/a	90.0	DISCARD	        "- If someone just said something wrong about food or the work, push back. Don't let it slide.\n"	063f8d0d
0014	2026-03-13T19:25:03.325489+00:00	tuesday	Jalapeño Corn Dog Bites	84	n/a	84.0	DISCARD	no visible change	63ae22a6
0015	2026-03-13T19:26:24.431354+00:00	tuesday	Jalapeño Corn Dog Bites	88	n/a	88.0	DISCARD	no visible change	e44cc98e
0016	2026-03-13T19:27:23.796381+00:00	tuesday	Jalapeño Corn Dog Bites	91	n/a	91.0	DISCARD	no visible change	e3bf2d93
0017	2026-03-13T19:28:26.090328+00:00	tuesday	Jalapeño Corn Dog Bites	76	n/a	76.0	DISCARD	no visible change	e3bf2d93
0018	2026-03-13T19:29:20.227860+00:00	tuesday	Jalapeño Corn Dog Bites	81	n/a	81.0	DISCARD	    "- Talk about the FOOD and the WORK. No technical jargon about file formats, pixels, "	6a38d333
0019	2026-03-13T19:30:34.585396+00:00	tuesday	Jalapeño Corn Dog Bites	77	n/a	77.0	DISCARD	no visible change	e3bf2d93
0020	2026-03-13T19:31:50.375344+00:00	tuesday	Jalapeño Corn Dog Bites	75	n/a	75.0	DISCARD	    "- Talk about the FOOD and the WORK. No file names, pixel dimensions, "	3d7cbf5c
0000	2026-03-13T19:48:14.802796+00:00	thursday	Jalapeño Corn Dog Bites	83	6	73.8	BASELINE	original prompts	d683b7f5
0001	2026-03-13T19:49:36.260556+00:00	thursday	Jalapeño Corn Dog Bites	84	7	78.4	KEEP	        "- Your message should sound like YOU and nobody else. Voice first, content second."	eced9eea
0002	2026-03-13T19:49:43.462936+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1fCCJg5sUyHZ3NJMNX9'}	n/a
0003	2026-03-13T19:50:53.372188+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	CRASH	eval error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fHavbtdmUasTWfyQ3C'}	n/a
0004	2026-03-13T19:51:04.971343+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fJVCLpdTCkXnXSwhvz'}	n/a
0005	2026-03-13T19:51:18.182344+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fKSh4J4MDGE4VwVEFf'}	n/a
0006	2026-03-13T19:51:23.080976+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1fKzuoQpmGgpMmZrPM8'}	n/a
0007	2026-03-13T19:51:36.757712+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fLoQ2VhDXv2ERtqtpu'}	n/a
0008	2026-03-13T19:51:48.339517+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fMfJtfafVUq9NEqEM9'}	n/a
0009	2026-03-13T19:52:02.858028+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fNjmJq7g4KhSHWtUXm'}	n/a
0010	2026-03-13T19:52:16.710034+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fPkPnUvsKszbm26a8y'}	n/a
0011	2026-03-13T19:52:30.198505+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fQhbe57NoVYSgBX6LP'}	n/a
0012	2026-03-13T19:52:42.819633+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fRicBqJYbbHUC1E1U3'}	n/a
0013	2026-03-13T19:52:53.991119+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fSWesbfyG3UMszkeuJ'}	n/a
0014	2026-03-13T19:53:07.626073+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fTTyB4MT5bKQSBfaX5'}	n/a
0015	2026-03-13T19:53:19.325912+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fUP4H7MqyPuyUrsBwp'}	n/a
0016	2026-03-13T19:53:35.106843+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fVQshKQj59aqQrnv59'}	n/a
0017	2026-03-13T19:53:47.872364+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fWV4zS5DggFZuaBLVN'}	n/a
0018	2026-03-13T19:53:59.302610+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fXK6FG9RbJNEoTDa2t'}	n/a
0019	2026-03-13T19:54:11.086030+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fYBQAGTLhyBA1k4LCr'}	n/a
0020	2026-03-13T19:54:22.601146+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fZ4TyTh4mmMBgeGfSb'}	n/a
0021	2026-03-13T19:54:33.380218+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fZsukoAjXsRxiFdQeG'}	n/a
0022	2026-03-13T19:55:52.689360+00:00	thursday	Jalapeño Corn Dog Bites	86	n/a	86.0	KEEP	    "color profiles, CMS paths, deployment URLs, or aspect ratios.\n"	d59f5df4
0023	2026-03-13T19:56:04.493439+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fgXUshr3CQ6kzfJwxi'}	n/a
0024	2026-03-13T19:57:26.585738+00:00	thursday	Jalapeño Corn Dog Bites	91	n/a	91.0	KEEP	        "Corn dogs are fair food, which means the copy has to carry some grease and some joy.",	f38702fc
0025	2026-03-13T19:57:51.523462+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1fp6zhDg1LUbxrjsGwg'}	n/a
0026	2026-03-13T19:58:49.787328+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fthuGmTsKjnnnrTH24'}	n/a
0027	2026-03-13T19:59:06.504973+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fugCcNaDaQoNKw7XzC'}	n/a
0028	2026-03-13T19:59:22.657699+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1fvwQgPXXzJkHYwWEny'}	n/a
0029	2026-03-13T20:00:49.682814+00:00	thursday	Jalapeño Corn Dog Bites	96	n/a	96.0	KEEP	        "Fine. But if the honey drizzle makes it cloying, I told you.",	0c8bad99
0030	2026-03-13T20:01:02.074999+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1g4UDHQ1zn7vzRdnwD1'}	n/a
0031	2026-03-13T20:02:28.795628+00:00	thursday	Jalapeño Corn Dog Bites	94	n/a	94.0	DISCARD	        "Cache was stale. Cleared it.",	06ec0ce3
0032	2026-03-13T20:03:46.589203+00:00	thursday	Jalapeño Corn Dog Bites	83	n/a	83.0	DISCARD	        "Recipe's up. Looks fine.",	903187bd
0033	2026-03-13T20:05:09.655225+00:00	thursday	Jalapeño Corn Dog Bites	86	n/a	86.0	DISCARD	        "Images need compression before I push this.",	3e20a33f
0034	2026-03-13T20:06:34.055691+00:00	thursday	Jalapeño Corn Dog Bites	97	n/a	97.0	KEEP	        "Recipe's live. The images were oversized but I handled it.",	167b1c72
0035	2026-03-13T20:08:04.485474+00:00	thursday	Jalapeño Corn Dog Bites	92	3	67.2	DISCARD	        "- Do NOT start your message with 'I' - find a different entry point into the thought."	295bb53d
0036	2026-03-13T20:08:27.521882+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1gd7Jrgjoc8dUhJo47F'}	n/a
0037	2026-03-13T20:08:49.458974+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1geiD77EJApHuR1wLfZ'}	n/a
0038	2026-03-13T20:09:04.542158+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1gfrDqGhPMXyEcyt54m'}	n/a
0039	2026-03-13T20:09:20.871512+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	ERROR	agent error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CZ1gh23DL3f9qyaj9VaLq'}	n/a
0040	2026-03-13T20:11:38.779086+00:00	thursday	Jalapeño Corn Dog Bites	79	4	63.4	DISCARD	        "Cache was stale. Cleared it.",	5bc087c0
0041	2026-03-13T20:13:58.025537+00:00	thursday	Jalapeño Corn Dog Bites	91	6	78.6	DISCARD	        "- If this is the start of the day, your first message should feel like arriving - brief, grounded, not performative."	7bfffa5f
0042	2026-03-13T20:16:11.450460+00:00	thursday	Jalapeño Corn Dog Bites	89	5	73.4	DISCARD	        "- Your message should sound like YOU and nobody else. Voice first, content second.\n"	234570a1
0043	2026-03-13T20:18:14.729859+00:00	thursday	Jalapeño Corn Dog Bites	88	5	72.8	DISCARD	        "- Never start a message with 'I' - find a different entry point into the thought."	a8b47a1c
0044	2026-03-13T20:20:24.319636+00:00	thursday	Jalapeño Corn Dog Bites	87	2	60.2	DISCARD	        "- Your message should sound like YOU and nobody else. Voice first, content second.\n"	e80a36b6
0045	2026-03-13T20:22:40.702607+00:00	thursday	Jalapeño Corn Dog Bites	0	n/a	0	CRASH	eval error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CZ1hdzUjdwJtKFnToaoau'}	n/a
0046	2026-03-13T20:24:59.271028+00:00	thursday	Jalapeño Corn Dog Bites	88	7	80.8	DISCARD	no visible change	1d93f6ac
0047	2026-03-13T20:27:10.409320+00:00	thursday	Jalapeño Corn Dog Bites	94	7	84.4	DISCARD	        "- When you agree with someone, show it through a specific detail, not generic affirmation.\n"	d73306d9
0048	2026-03-13T20:29:13.701727+00:00	thursday	Jalapeño Corn Dog Bites	93	7	83.8	DISCARD	        "- When you agree with someone, show it through a specific detail, not generic affirmation.\n"	d73306d9
0049	2026-03-13T20:30:40.554965+00:00	thursday	Jalapeño Corn Dog Bites	83	5	69.8	DISCARD	        "- Pick ONE thing from the conversation to respond to. Don't try to cover everything."	c90669c8
0050	2026-03-13T20:32:37.153771+00:00	thursday	Jalapeño Corn Dog Bites	89	5	73.4	DISCARD	        "- When you agree with someone, show it through a specific detail, not generic affirmation."	803c568b
